exam_type_name,passage_english,passage_hindi,passage_german,passage_french,duration
PRACTISE,,,"In einem weit entfernten Land gab es eine Statue aus purem Gold, die für ihren Glanz und ihre Schönheit bekannt war. Viele hatten versucht, die Statue zu stehlen, doch sie war immer unberührt geblieben. Es hieß, die Statue sei von einem alten König geschaffen worden, der die Macht besaß, die Elemente zu beherrschen. Niemand wusste, wie der König es geschafft hatte, die Statue zu erschaffen, aber es gab Legenden, dass sie ein verborgenes Geheimnis in sich trug.

Lina, eine junge Abenteurerin, hatte von der Statue gehört und beschloss, sich auf die Reise zu machen, um sie zu finden. Sie durchquerte gefährliche Wälder und überquerte reißende Flüsse, bis sie schließlich das geheimnisvolle Tempelgebäude erreichte, in dem die Statue aufbewahrt wurde. Doch als sie den Tempel betrat, fand sie nicht nur die Statue, sondern auch eine Vielzahl von Rätseln, die sie lösen musste, um an das wahre Geheimnis der Statue zu gelangen.

Nach vielen Stunden des Nachdenkens und Versuchens entdeckte Lina das Geheimnis: Die Statue war ein Schlüssel zu einer alten Macht, die nur von denen genutzt werden konnte, die wahrhaftig im Herzen waren. Lina wusste, dass sie, wenn sie das Geheimnis für sich behielt, die Macht in die falschen Hände legen könnte. Sie entschloss sich, die Statue wieder zu versiegeln und das Geheimnis zu bewahren.",,25
PRACTISE,,,"Es war ein klarer, sternenreicher Abend, als Leon und seine Freunde beschlossen, ihren Traum zu verwirklichen: Sie wollten zum Mond reisen. Sie hatten schon immer von der Reise in den Weltraum geträumt und nun war die Technologie weit genug, um es zu ermöglichen. Also bauten sie ihre eigene Rakete, ausgestattet mit den neuesten Technologien und ausgestattet für die lange Reise.

Der Start war spektakulär. Die Rakete schoss in den Himmel und ließ die Erde unter ihnen immer kleiner werden. Wochenlang durchquerten sie den Weltraum, bestaunten die Sterne und die unendliche Weite des Universums. Schließlich erreichten sie den Mond. Als sie die Landefläche verließen, standen sie auf dem silbernen Boden und sahen die Erde in der Ferne, klein und schön. Es war der Höhepunkt ihres Lebens.

Doch als sie den Mond erkundeten, entdeckten sie eine geheimnisvolle Höhle, die tief in den Mondboden führte. Was sie darin fanden, war mehr als sie sich jemals hätten vorstellen können: alte Ruinen und seltsame Geräte, die auf eine längst vergessene Zivilisation hindeuteten. Leon und seine Freunde wussten, dass ihre Reise nicht nur ein Abenteuer war, sondern auch die Entdeckung eines geheimen Kapitels der Geschichte des Mondes.",,30
PRACTISE,,,,"Un jour, Léa et son frère Marc ont décidé de visiter un vieux château abandonné près de chez eux. Il était entouré de hautes murailles, couvertes de lierre. En entrant, ils ont trouvé des pièces sombres et des couloirs étroits. Mais ce qui les a vraiment intrigués, c’était une porte en bois massif, avec une serrure étrange. Ils ont essayé de l’ouvrir, mais elle ne bougeait pas. En explorant davantage, ils ont découvert un petit clé cachée sous une pile de livres anciens. La clé correspondait parfaitement à la serrure. Lorsqu'ils ont ouvert la porte, ils ont trouvé une pièce secrète, remplie de trésors oubliés : des bijoux anciens, des pièces d’or et des parchemins mystérieux. Léa et Marc se sont regardés, stupéfaits. Ils avaient découvert un secret du passé, un trésor caché depuis des siècles. Ils savaient que ce qu'ils venaient de trouver allait changer leur vie pour toujours.",5
PRACTISE,,,,"Lucie était une passionnée d'histoire, et un jour, en explorant la vieille bibliothèque de sa ville, elle est tombée sur un livre étrange. Ce livre parlait de voyages dans le temps et contenait des schémas d’appareils mystérieux. Curieuse, elle a commencé à suivre les instructions du livre. Après plusieurs essais, un matin, son invention a enfin fonctionné. Lucie s’est retrouvée à Paris, mais au lieu d’être en 2023, elle était en 1789, à l’époque de la Révolution française ! Elle a observé les événements qui se déroulaient devant elle, fascinée par les discours et les mouvements populaires. Mais elle savait qu’elle devait retourner dans son époque, avant de modifier le cours de l’histoire. Avec un dernier coup d’œil sur Paris, elle a activé le mécanisme et est retournée chez elle. Bien que ses aventures dans le passé aient duré seulement quelques heures, elles lui avaient appris plus sur l’histoire qu’elle ne l’aurait imaginé.",10
PRACTISE,,,,"Pierre et Sophie avaient toujours rêvé de partir à l’aventure. Un jour, ils ont embarqué sur un petit bateau pour explorer une île lointaine. Après quelques heures de navigation, ils ont aperçu une île déserte au loin. En y arrivant, ils ont remarqué quelque chose de bizarre : l’île semblait inhabitée, mais des signes de vie étaient partout. Des empreintes fraîches sur le sable, des fruits mangés à moitié et des morceaux de tissu dans les arbres. En explorant la jungle dense, ils ont trouvé une vieille cabane en bois. À l’intérieur, il y avait une carte ancienne, marquée d’un X rouge. Intrigués, ils ont décidé de suivre la carte. Leur voyage les a menés à une grotte secrète, où ils ont découvert des objets précieux cachés sous terre. L’île n’était peut-être pas aussi déserte qu’elle en avait l’air, et le mystère de ses habitants restait entier.",15
PRACTISE,,,,"Un matin brumeux, Alice se réveilla avec une étrange sensation d'excitation. Elle avait entendu des rumeurs au village sur une forêt magique qui se trouvait à quelques kilomètres de chez elle. Cette forêt était dite enchantée, remplie de créatures merveilleuses et de secrets oubliés. Curieuse et avide d’aventure, Alice décida de s’y aventurer.

À peine entra-t-elle dans la forêt que tout sembla changer. Les arbres, d’habitude austères, semblaient sourire, et le vent murmurait des mots doux. Alice suivit un chemin étroit, bordé de fleurs éclatantes. Soudain, un cerf majestueux apparut devant elle. Il la regarda droit dans les yeux avant de s’enfoncer dans les buissons. Intriguée, Alice décida de le suivre. Elle marcha pendant des heures, découvrant des sentiers cachés et des cascades étincelantes.

Finalement, elle arriva devant un vieux chêne au tronc énorme. Sur son écorce était gravé un symbole étrange. Alice toucha le symbole, et une porte secrète s’ouvrit, révélant une salle secrète remplie de cristaux lumineux. Un vieux livre reposait sur une pierre. Lorsqu’Alice l’ouvrit, elle découvrit une carte, celle de la forêt, indiquant un trésor caché. Mais le plus grand trésor, elle le réalisa, était la forêt elle-même, un lieu magique où la nature et la magie se mêlaient.",20
PRACTISE,,,,"Marc avait passé une journée épuisante au travail. Alors qu’il descendait dans la station de métro, il se rendit compte qu’il était presque seul. La gare était étonnamment calme, presque trop calme. Le dernier métro de la soirée venait de partir, et il se sentait étrange, comme si quelque chose n’allait pas.

Il décida de prendre un siège et d’attendre le prochain. La lumière du plafond clignotait, créant une ambiance inquiétante. Au bout de quelques minutes, un bruit sourd se fit entendre, et un train arriva, bien plus ancien que tous ceux qu’il avait vus auparavant. Il était décoré de couleurs vives et avait un air rétro, presque irréel.

Marc monta dans le train, et la porte se ferma derrière lui. À l’intérieur, tout semblait normal, mais les passagers étaient étrangement silencieux. Alors qu'il s'assoit, une vieille dame le regarde intensément. Elle lui sourit, mais son regard reste perçant. Marc, légèrement mal à l’aise, décide de ne pas lui répondre et regarde par la fenêtre.

Mais à mesure que le train avançait, les rues qu’il reconnaissait disparaissaient. Tout autour de lui devenait flou. Le train ne s'arrêtait plus aux stations habituelles. Les lumières se tamisaient et le silence s’intensifiait. Le train se dirigeait dans une direction inconnue, vers une destination où Marc ne voulait pas aller. Finalement, avec un bruit sec, le train s'arrêta dans une gare déserte. Marc se leva précipitamment et descendit. Il se rendit compte que ce dernier métro ne l’avait pas emmené à la maison, mais dans un monde parallèle.",25
PRACTISE,,,,"Un après-midi d'été, Julien se rendit à la brocante du village, un endroit qu’il fréquentait souvent à la recherche de vieilles antiquités. Ce jour-là, une carte ancienne attira son attention. Elle était roulée et attachée avec un ruban rouge. Le vendeur, un vieil homme avec des lunettes rondes, lui dit que cette carte était très ancienne, et qu'elle avait appartenu à un explorateur perdu dans les montagnes il y a des siècles.

Intrigué, Julien l’acheta et se précipita chez lui pour l’étudier. Sur la carte, plusieurs lieux étaient marqués par des symboles mystérieux, mais un endroit, en particulier, attirait son attention. C’était une île isolée, bien au-delà de l’horizon, avec un énorme X au centre.

Julien se sentit soudainement envahi par le désir de partir à la recherche de cette île. Il se prépara pendant des semaines, rassemblant des provisions, des cartes supplémentaires et des informations sur cette mystérieuse île. Un matin, il prit son bateau et partit en mer.

Les jours passèrent, et les vagues devenaient de plus en plus menaçantes. Mais il ne s’arrêta pas. Après une longue traversée, il aperçut enfin l’île. Lorsqu’il accosta, il se rendit compte que l’île n’était pas déserte. Des ruines antiques se dressaient devant lui, et, caché dans les pierres, un coffre en bois l’attendait. En l'ouvrant, Julien découvrit un trésor inestimable, mais aussi un secret oublié de l’humanité.",30
PRACTISE,,,,"Un après-midi ensoleillé, Hugo a trouvé une vieille porte en bois dans le fond de son jardin. Elle était recouverte de mousse et semblait abandonnée depuis des années. Curieux, il a décidé de l’ouvrir. Lorsqu’il l’a poussée, il s’est retrouvé dans un autre monde, un lieu enchanté rempli de créatures fantastiques et de paysages incroyables. Il y avait des arbres géants, des rivières étincelantes et des animaux qui parlaient. Un lion majestueux lui est apparu et lui a expliqué que la porte était un passage vers un royaume magique, accessible uniquement à ceux qui croyaient en la magie. Hugo a passé plusieurs heures à explorer cet endroit merveilleux, rencontrant des fées et des dragons. Mais il savait qu’il devait revenir chez lui avant la tombée de la nuit. Avant de quitter ce monde magique, le lion lui a donné un pendentif, en lui disant que la porte réapparaîtrait quand il en aurait besoin. Hugo est retourné chez lui, mais il n’a jamais oublié la magie de la porte.",5
PRACTISE,,,,"Maxime et sa sœur Amélie avaient l’habitude de jouer dans la vieille grange de leur grand-père. Un jour, en fouillant dans les vieilles malles, ils ont trouvé une carte au trésor. Cette carte semblait pointer vers une île perdue dans l’océan. Après avoir demandé l’autorisation à leurs parents, ils ont embarqué sur un bateau et sont partis à la recherche du trésor. Après plusieurs jours de navigation, ils sont arrivés sur une île mystérieuse. En suivant la carte, ils ont traversé des jungles denses et des plages désertes. Finalement, ils ont trouvé une vieille cabane en bois qui dissimulait un coffre sous le plancher. À l’intérieur du coffre, il y avait des pièces d’or, des bijoux étincelants et une médaille en forme de crâne. Le trésor du pirate était réel. Maxime et Amélie étaient heureux, mais ils savaient qu’ils devaient garder ce secret, car certains trésors sont mieux laissés enfouis dans l’histoire.",10
PRACTISE,,,,"Sophie était fascinée par les oiseaux, en particulier par un oiseau rare qu’elle avait vu un jour dans un livre : l’oiseau bleu. Il était dit que cet oiseau avait le pouvoir de réaliser les souhaits les plus profonds de ceux qui le capturaient. Un après-midi, alors qu’elle se promenait dans la forêt, Sophie aperçut une lueur bleue au loin. Curieuse, elle s’approcha et vit l’oiseau bleu perché sur une branche. Elle s’assit lentement, espérant ne pas effrayer l’animal. L’oiseau la regarda avec ses yeux brillants, et avant qu’elle ne puisse réagir, il s’envola. Sophie courut à sa suite, mais l’oiseau semblait jouer avec elle, virevoltant dans les airs. Finalement, il se posa sur une branche d’arbre et émit un doux chant. Sophie ferma les yeux et, dans ce moment de calme, elle formula un vœu. Lorsqu’elle rouvrit les yeux, l’oiseau avait disparu, mais elle se sentit plus légère, comme si son vœu avait déjà été exaucé.",15
PRACTISE,,,,"Chaque année, la ville de Valérie célébrait le festival des étoiles filantes. Les habitants croyaient qu'une étoile filante particulière pouvait exaucer un vœu. Ce soir-là, comme tous les autres, les familles se rassemblaient sur la grande place, regardant le ciel, attendant l’apparition de l’étoile magique.

Sophie, une jeune fille curieuse, avait toujours rêvé de découvrir si la légende était vraie. Cette année-là, elle décida de ne pas faire comme tout le monde. Au lieu de simplement faire un vœu, elle s’aventura dans la forêt, suivant les histoires de ses grands-parents qui parlaient d’une étoile filante magique cachée dans les montagnes.

Alors qu'elle marchait, la nuit tomba et le ciel se remplit de milliers d’étoiles. Puis, soudainement, une étoile filante traversa le ciel. Sophie la suivit des yeux et vit qu’elle se dirigeait vers un vieux temple caché dans la forêt.

Le temple était en ruines, mais à l’intérieur, elle trouva un cristal lumineux, vibrant de magie. Sophie toucha le cristal, et soudainement, elle eut une vision : l'étoile filante était l’incarnation d’un ancien pouvoir. Celui qui la trouvait pouvait demander un vœu, mais cela nécessitait un grand sacrifice.

Sophie se retrouva à un carrefour : garder ce pouvoir pour elle-même ou le partager avec le monde.",20
PRACTISE,,,,"La vieille maison du bout de la rue avait toujours été un mystère pour les enfants du village. On disait qu’elle était hantée par l’esprit d’un ancien propriétaire, un homme solitaire qui y avait vécu des décennies plus tôt. Personne n’avait osé y entrer depuis des années, mais Émilie, déterminée à résoudre ce mystère, décida de visiter la maison.

Elle s'y rendit un après-midi brumeux, armée de courage. En poussant la porte grinçante, elle entra dans le hall poussiéreux. L'air était froid, et une odeur étrange flottait dans l’atmosphère. Tout semblait figé dans le temps : des meubles vieux et recouverts de draps blancs, des portraits sombres sur les murs, et un silence de mort.

Soudain, elle entendit un bruit faible, comme un murmure. Elle se tourna vers l’escalier qui menait à l’étage et aperçut une silhouette translucide. Le fantôme, vêtu d’un vieux costume, la regardait fixement. Mais au lieu de fuir, Émilie s’approcha.

Le fantôme lui raconta son histoire : il était un homme désespéré, condamné à errer dans la maison jusqu’à ce qu'il trouve la paix. Émilie, touchée par son histoire, l’aida à trouver ce qu’il cherchait : un vieux livre caché dans la bibliothèque. Lorsque le livre fut trouvé, le fantôme disparut, et la maison retrouva la paix.",25
PRACTISE,,,,"Maxime vivait dans une petite ville tranquille, où tout semblait toujours être à sa place. Un jour, en fouillant dans le grenier de ses grands-parents, il trouva une vieille horloge en bois. Elle semblait ordinaire, mais quelque chose dans son mécanisme semblait particulier. En la remontant, l’horloge se mit à émettre un bruit étrange, et soudainement, Maxime se retrouva dans un autre endroit, un endroit qu’il ne reconnaissait pas.

Il se rendit vite compte qu’il avait été transporté dans le passé, à une époque où sa ville n’existait même pas. L’horloge était magique, et chaque fois qu’il la remontait, elle le transportait à un moment différent de l’histoire. Maxime voyagea à travers les siècles, rencontrant des personnages fascinants et découvrant des événements oubliés. Il vivait des aventures incroyables, mais chaque voyage le rapprochait d’un choix difficile : revenir à sa propre époque ou rester dans le passé, où il avait commencé à se sentir chez lui.

Finalement, après un dernier voyage dans un futur incertain, Maxime comprit que le véritable trésor était le présent, et il décida de ne plus toucher à l'horloge, la laissant dans le grenier où il l’avait trouvée.",30
PRACTISE,"Ancient Punjab formed part of the vast Indo-Iranian region. In later years it saw the rise and fall of the Mauryas, Bactrians, Greeks, Sakas, Kushans and Guptas. Medieval Punjab saw a supremacy of the Muslims. Ghaznavi was followed by the Ghoris, the slaves, the Khiljis, the Tughlaks, the Lodhis and the Mughals. Fifteenth and sixteenth centuries marked a period of watershed in the history of Punjab. Through teachings of Guru Nanak, Bhakti movement received a great impetus. Sikhism began as a socioreligious movement, which was more interested in fighting evils in religion and society. It was Guru Gobind Singh, the tenth Guru, who transformed the Sikhs into the Khalsa.
They rose to challenge tyranny and after centuries of servitude, established a humane Punjabi Raj based on secularism and patriotism. Maharaja Ranjit Singh, in the words of a Persian writer, changed Punjab from Madam Kada to Bagh-Bahist (from the abode of sorrow to the garden of paradise). But soon after his death the entire edifice collapsed due to internal intrigues and British machinations. After two abortive Anglo-Sikh wars, Punjab was finally annexed to the British Empire in 1849.",,,,5
PRACTISE,"Ancient Punjab formed part of the vast Indo-Iranian region. In later years it saw the rise and fall of the Mauryas, Bactrians, Greeks, Sakas, Kushans and Guptas. Medieval Punjab saw a supremacy of the Muslims. Ghaznavi was followed by the Ghoris, the slaves, the Khiljis, the Tughlaks, the Lodhis and the Mughals. Fifteenth and sixteenth centuries marked a period of watershed in the history of Punjab. Through teachings of Guru Nanak, Bhakti movement received a great impetus. Sikhism began as a socioreligious movement, which was more interested in fighting evils in religion and society. It was Guru Gobind Singh, the tenth Guru, who transformed the Sikhs into the Khalsa.
They rose to challenge tyranny and after centuries of servitude, established a humane Punjabi Raj based on secularism and patriotism. Maharaja Ranjit Singh, in the words of a Persian writer, changed Punjab from Madam Kada to Bagh-Bahist (from the abode of sorrow to the garden of paradise). But soon after his death the entire edifice collapsed due to internal intrigues and British machinations. After two abortive Anglo-Sikh wars, Punjab was finally annexed to the British Empire in 1849.",,,,10
PRACTISE,"",,,,15
PRACTISE,"They were the districts between Daman and Goa that formed part of the original British Bombay Province; five districts of the Nizam's dominion of Hyderabad; eight districts in the south of the Central provinces (Madhya Pradesh) and a sizeable number of petty native-ruled state enclaves lying enclosed within the above areas, were later merged with adjoining districts. Located in the north centre of Peninsular India, with the command of the Arabian Sea through its Port of Mumbai, Maharashtra has a remarkable physical homogeneity, enforced by its underlying geology.
The dominant physical trait of the State is its plateau character. Maharashtra is a plateau of plateaus, its western upturned rims rising to form the Sahyadri Range parallel to the sea-coast and its slopes gently descending towards the east and south-east. Satpura ranges cover the northern part of the State, while Ajanta and Satmala ranges run through central part of State. Arabian Sea guards the western boundary of Maharashtra, while Gujarat and Madhya Pradesh are on the northern side. Chhattisgarh covers the eastern boundary of the State. Karnataka and Andhra Pradesh are on its southern side.
Manipur is not only the gateway of the North Eastern region but is also a fascinating destination for discerning tourists. Blessed with a salubrious climate, natural beauty and scenic splendour, the state extends to the tourists a warm welcome.",,,,20
